Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor;
Piaui;Nossa Senhora dos Remédios;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE NOSSA SENHORA DOS REMEDIOS;Certidão de Protesto;E-mail;100;
Piaui;Novo Oriente do Piauí;CARTORIO UNICO SOCORRO SOBREIRA;Certidão de Protesto;E-mail;100;
Piaui;Oeiras;CARTORIO  1º OFICIO DE OEIRAS;Certidão de Protesto;E-mail;100;
Piaui;Oeiras;CARTORIO  3º OFICIO DE OEIRAS;Certidão de Protesto;E-mail;100;
Piaui;Oeiras;CARTORIO  4º OFICIO DE OEIRAS;Certidão de Protesto;E-mail;100;
Piaui;Paes Landim;CARTORIO UNICO DE PAES LADIN;Certidão de Protesto;E-mail;100;
Piaui;Palmeira do Piauí;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE PALMEIRA DO PIAUI;Certidão de Protesto;E-mail;100;
Piaui;Palmeirais;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE PALMEIRAIS;Certidão de Protesto;E-mail;100;
Piaui;Parnaguá;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE PARNAGUA;Certidão de Protesto;E-mail;100;
Piaui;Parnaíba;CARTORIO  1º OFICIO DE PARNAIBA;Certidão de Protesto;E-mail;100;
Piaui;Parnaíba;CARTORIO  2º OFICIO DE PARNAIBA;Certidão de Protesto;E-mail;100;
Piaui;Parnaíba;CARTORIO  3º OFICIO DE PARNAIBA;Certidão de Protesto;E-mail;100;
Piaui;Paulistana;CARTORIO DO 1º OFICIO DE PAULISTANA;Certidão de Protesto;E-mail;100;
Piaui;Pedro II;CARTORIO ANTONIA MARIA DA CONCEIÇÃO GALVÃO OLIVEIRA;Certidão de Protesto;E-mail;100;
Piaui;Pedro II;CARTORIO  1º OFICIO DE PEDRO II;Certidão de Protesto;E-mail;100;
Piaui;Picos; 3º SERVENTIA EXTRAJUDICIAL DE TABELIONATO DE NOTAS E PROTESTOS DE TITULOS;Certidão de Protesto;E-mail;100;
Piaui;Picos; 4º SERVENTIA EXTRAJUDICIAL DE TABELIONATO DE NOTAS E PROTESTOS DE TITULOS DA COMARCA DE PICOS;Certidão de Protesto;E-mail;100;
Piaui;Pimenteiras;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE PIMENTEIRAS;Certidão de Protesto;E-mail;100;
Piaui;Pio IX;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE PIO IX;Certidão de Protesto;E-mail;100;
Piaui;Piracuruca;CARTORIO  2º OFICIO DE PIRACURUCA;Certidão de Protesto;E-mail;100;
Piaui;Piripiri;2º SERVENTIA EXTRAJUDICIAL DE TABELIONATO DE PIRIPIRI;Certidão de Protesto;E-mail;100;
Piaui;Porto;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE PORTO;Certidão de Protesto;E-mail;100;
Piaui;Prata do Piauí;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE PRATA DO PIAUI;Certidão de Protesto;E-mail;100;
Piaui;Redenção do Gurguéia;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE REDENÇÃO DO PIAUI;Certidão de Protesto;E-mail;100;
Piaui;Regeneração;CARTORIO ROCHA;Certidão de Protesto;E-mail;100;
Piaui;Ribeiro Gonçalves;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO;Certidão de Protesto;E-mail;100;
Piaui;Santa Cruz do Piauí;CARTORIO  1º OFICIO DE NOTAS E REGISTRO DE IMOVEIS;Certidão de Protesto;E-mail;100;
Piaui;Santa Filomena;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE SANTA FILOMENA;Certidão de Protesto;E-mail;100;
Piaui;Santa Luz;CARTORIO UNICO DE SANTA LUZ;Certidão de Protesto;E-mail;100;
Piaui;Santo Antônio de Lisboa;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE SANTO ANTONIO DE LISBOA;Certidão de Protesto;E-mail;100;
Piaui;Santo Inácio do Piauí;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE SANTO INACIO DO PIAUI;Certidão de Protesto;E-mail;100;
Piaui;São Félix do Piauí;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE SÃO FELIZ DO PIAUI;Certidão de Protesto;E-mail;100;
Piaui;São Gonçalo do Piauí;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE SÃO GONÇALO DO PIAUI;Certidão de Protesto;E-mail;100;
Piaui;São João da Serra;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE SÃO JOÃO DA SERRA;Certidão de Protesto;E-mail;100;
Piaui;São João do Piauí;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE SÃO JOÃO DO PIAUI;Certidão de Protesto;E-mail;100;
Piaui;São José do Piauí;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE SÃO JOSE DO PIAUI;Certidão de Protesto;E-mail;100;
Piaui;São Julião;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE SÃO JULIÃO;Certidão de Protesto;E-mail;100;
Piaui;São Miguel do Tapuio;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE SÃO MIGUEL DO TAPUIO;Certidão de Protesto;E-mail;100;
Piaui;São Pedro do Piauí;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE SÃO PEDRO DO PIAUI;Certidão de Protesto;E-mail;100;
Piaui;São Raimundo Nonato;2º CARTORIO DE NOTAS E PROTESTOS ;Certidão de Protesto;E-mail;100;
Piaui;Sebastião Leal;CARTORIO BIASUTTI - SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE SEBASTÃO LEAL;Certidão de Protesto;E-mail;100;
Piaui;Sigefredo Pacheco;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE SIGEFREDO PACHECO;Certidão de Protesto;E-mail;100;
Piaui;Simões;2 SERVENTIA EXTRAJUDICIAL DE SIMÕES;Certidão de Protesto;E-mail;100;
Piaui;Simplício Mendes;1º SERVENTIA EXTRAJUDICIAL DE SIMPLICIO MENDES;Certidão de Protesto;E-mail;100;
Piaui;Socorro do Piauí;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE SOCORRO DO PIAUI;Certidão de Protesto;E-mail;100;
Piaui;Teresina;1 SERVENTIA EXTRAJUDICIAL DE NOTAS E PROTESTOS DE TITULOS DE TERESINA;Certidão de Protesto;E-mail;100;
Piaui;Teresina;2 SERVENTIA EXTRAJUDICIAL DE TABELIONATO DE NOTAS E PROTESTOS DE TITULOS;Certidão de Protesto;E-mail;100;
Piaui;Teresina;CARTORIO  3º OFICIO DE TERESINA - THEMISTOCLES SAMPAIO;Certidão de Protesto;E-mail;100;
Piaui;Teresina;PRIMEIRA  SERVENTIA EXTRAJUDICIAL DE TABELIONATO DE PROTESTOS DE TITULOS DE TERESINA;Certidão de Protesto;E-mail;100;
Piaui;União;SEGUNDA SERVENTIA EXTRAJUDICIAL DE TABELIONATO DE UNIÃO;Certidão de Protesto;E-mail;100;
Piaui;Uruçuí;2º TABELIONATO DE NOTAS E PROTESTOS DE URUÇUI;Certidão de Protesto;E-mail;100;
Piaui;Valença do Piauí;2º SERVENTIA EXTRAJUDICIAL DE TABELIONATO DE VALENÇA DO PIAUI;Certidão de Protesto;E-mail;100;
Piaui;Wall Ferraz;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE WALL FERRAZ;Certidão de Protesto;E-mail;100;
